순위,관광지명,주소,분류,합산 검색 수
1,코엑스,서울 강남구 영동대로 513-0,전시시설,553313
2,인터컨티넨탈호텔서울코엑스,서울 강남구 봉은사로 524-0,호텔,120648
3,그랜드인터컨티넨탈호텔서울파르나스,서울 강남구 테헤란로 521-0,호텔,109138
4,조선팰리스서울강남,서울 강남구 테헤란로 231-0,호텔,105302
5,오크우드프리미어코엑스센터,서울 강남구 테헤란로87길 46-0,호텔,77947
6,SETEC,서울 강남구 남부순환로 3104-0,전시시설,74292
7,봉은사,서울 강남구 봉은사로 531-0,종교성지,67914
8,리베라호텔서울,서울 강남구 영동대로 737-0,호텔,65635
9,엘리에나호텔,서울 강남구 논현로 645-0,호텔,61321
10,신사동가로수길,서울 강남구,테마공원,60361
11,안다즈서울강남,서울 강남구 논현로 854-0,호텔,60286
12,프리마호텔,서울 강남구 도산대로 536-0,호텔,59540
13,신라스테이역삼,서울 강남구 언주로 517-0,호텔,57958
14,노보텔앰배서더호텔서울강남,서울 강남구 봉은사로 130-0,호텔,57950
15,아쿠아리움코엑스몰점,서울 강남구 영동대로 513-0,테마공원,52245
16,호텔삼정,서울 강남구 봉은사로 150-0,호텔,42570
17,임피리얼팰리스서울,서울 강남구 언주로 640-0,호텔,37109
18,파크하얏트서울호텔,서울 강남구 테헤란로 606-0,호텔,35178
19,도산공원,서울 강남구 도산대로45길 20-0,도시공원,34471
20,더라움,서울 강남구 언주로 564-0,전시시설,32374
21,롯데호텔L7강남,서울 강남구 테헤란로 415-0,호텔,29659
22,CGV강남,서울 강남구 강남대로 438-0,공연시설,28611
23,신라스테이삼성,서울 강남구 영동대로 506-0,호텔,27920
24,광림아트센터BBCH홀,서울 강남구 논현로163길 33-0,공연시설,27184
25,CGV청담씨네시티,서울 강남구 도산대로 323-0,공연시설,27169
26,라마다호텔서울,서울 강남구 봉은사로 410-0,호텔,26533
27,힐탑관광호텔,서울 강남구 논현로 647-0,호텔,22362
28,CGV압구정본관,서울 강남구 논현로 848-0,공연시설,20986
29,메가박스코엑스,서울 강남구 봉은사로 524-0,공연시설,20534
30,글래드강남코엑스센터,서울 강남구 테헤란로 610-0,호텔,19582
31,포포인츠바이쉐라톤서울강남,서울 강남구 도산대로 203-0,호텔,17950
32,금강쇼핑센터,서울 강남구 압구정로 201-0,쇼핑몰,17251
33,LG아트센터,서울 강남구 논현로 508-0,공연시설,17227
34,압구정로데오거리,서울 강남구,테마공원,17043
35,KT&G상상마당대치아트홀,서울 강남구 영동대로 416-0,공연시설,16661
36,선정릉,서울 강남구 선릉로100길 1-0,역사유적지,16425
37,이비스스타일앰배서더서울강남,서울 강남구 삼성로 431-0,호텔,16328
38,호텔선샤인,서울 강남구 도산대로 205-0,호텔,15774
39,세븐럭코엑스센터점,서울 강남구 테헤란로87길 58-0,기타문화관광지,15396
40,호텔뉴브,서울 강남구 선릉로85길 6-0,호텔,15103
41,롯데시네마도곡,서울 강남구 남부순환로 2753-0,공연시설,14899
42,마이아트뮤지엄,서울 강남구 테헤란로 518-0,전시시설,14665
43,다이소대치본점,서울 강남구 도곡로 435-0,기타쇼핑시설,14296
44,백암아트홀,서울 강남구 테헤란로113길 7-0,공연시설,13955
45,도미인서울강남호텔,서울 강남구 봉은사로 134-0,호텔,13774
46,호텔더디자이너스리즈강남프리미어,서울 강남구 봉은사로 113-0,호텔,13219
47,글래드라이브강남,서울 강남구 봉은사로 223-0,호텔,13209
48,능인선원포이동법당,서울 강남구 양재대로 340-0,종교성지,12856
49,스타필드코엑스몰,서울 강남구 영동대로 513-0,쇼핑몰,12211
50,에이든청담호텔바이베스트웨스턴,서울 강남구 도산대로 216-0,호텔,11800
51,알로프트호텔서울강남,서울 강남구 영동대로 736-0,호텔,11126
52,임피리얼팰리스서울휴관중,서울 강남구 언주로 640-0,호텔,10793
53,자이언트호텔,서울 강남구 봉은사로 459-0,호텔,10747
54,베스트웨스턴프리미어강남호텔,서울 강남구 봉은사로 139-0,호텔,10531
55,포레힐호텔,서울 강남구 학동로 117-0,호텔,10499
56,호텔카푸치노,서울 강남구 봉은사로 155-0,호텔,10149
57,파르나스몰,서울 강남구 테헤란로 521-0,쇼핑몰,10111
58,역삼아르누보호텔,서울 강남구 언주로 506-0,호텔,9543
59,마루공원,서울 강남구,도시공원,9362
60,신한아트홀,서울 강남구 역삼로 251-0,공연시설,8998
61,라움아트센터,서울 강남구 언주로 564-0,전시시설,8537
62,메종에르메스,서울 강남구 도산대로45길 7-0,쇼핑몰,8402
63,서울옥션강남센터,서울 강남구 언주로 864-0,기타문화관광지,8306
64,호텔컬리넌역삼,서울 강남구 언주로87길 11-0,호텔,8009
65,호텔크레센도서울,서울 강남구 봉은사로 428-0,호텔,7850
66,신구스포츠센터,서울 강남구 압구정로18길 28-0,기타레저스포츠,7794
67,라까사호텔,서울 강남구 도산대로1길 83-0,호텔,7714
68,호텔유리앤,서울 강남구 삼성로96길 20-0,호텔,7664
69,윤당아트홀,서울 강남구 언주로 844-0,공연시설,7620
70,호텔데님,서울 강남구 논현로 66-0,호텔,7543
71,호텔인나인,서울 강남구 영동대로 618-0,호텔,7462
72,엔트라호텔,서울 강남구 도산대로 508-0,호텔,7373
73,역삼청소년수련관,서울 강남구 논현로64길 7-0,육상레저스포츠,6944
74,CGV압구정신관,서울 강남구 압구정로30길 45-0,공연시설,6858
75,선릉,서울 강남구 선릉로100길 1-0,역사유적지,6600
76,식물관PH,서울 강남구 광평로34길 24-0,기타문화관광지,6438
77,호텔페이토삼성,서울 강남구 테헤란로87길 9-0,호텔,6432
78,리치웰호텔,서울 강남구 테헤란로37길 13-10,호텔,6431
79,호텔스타프리미어역삼,서울 강남구 테헤란로33길 6-11,호텔,6224
80,SAC아트홀,서울 강남구 삼성로 534-0,공연시설,6062
81,더클라임양재점,서울 강남구 남부순환로 2615-0,기타레저스포츠,6045
82,안테룸서울,서울 강남구 도산대로 153-0,호텔,6024
83,대치유수지체육공원,서울 강남구 역삼로107길 20-30,도시공원,5842
84,은곡마을공원,서울 강남구 헌릉로571길 34-3,도시공원,5829
85,4월호텔,서울 강남구 언주로89길 13-0,호텔,5811
86,파티오세븐,서울 강남구 논현로 736-0,호텔,5796
87,롯데시네마브로드웨이,서울 강남구 도산대로 118-0,공연시설,5780
88,다이소매봉역점,서울 강남구 남부순환로 2748-0,기타쇼핑시설,5767
89,오월호텔,서울 강남구 언주로85길 27-0,호텔,5674
90,현대모터스튜디오서울,서울 강남구 언주로 738-0,전시시설,5642
91,티몬,서울 강남구 테헤란로114길 38-0,기타쇼핑시설,5640
92,대모산도시자연공원,서울 강남구 광평로10길 50-0,도시공원,5573
93,신사공원,서울 강남구,도시공원,5409
94,르메르디앙호텔서울 (폐업),서울 강남구 봉은사로 120-0,호텔,5226
95,한국문화의집,서울 강남구 테헤란로92길 12-9,공연시설,5207
96,기아360,서울 강남구 압구정로 417-0,기타문화관광지,5185
97,메가박스강남대로,서울 강남구 강남대로 422-0,공연시설,5181
98,호텔디아티스트,서울 강남구 테헤란로29길 11-0,모텔,5152
99,녹스호텔,서울 강남구 테헤란로37길 13-13,호텔,5138
100,청담도로공원,서울 강남구,도시공원,5027
