place,score
BIFF광장,18.4799193
보수동책방골목,51.04307593
다이아몬드타워,60.47003013
국제시장먹자골목,14.62675285
남포동먹자골목,7.34780575
BIFF거리,2.4941
남포동 포장마차거리,11.51034748
광복로패션거리,3.91015504
영주하늘눈전망대,4.86464912
40계단문화관광테마거리,3.2591505
유라리광장,1.9786062
부평족발골목,3.820315
역사의디오라마,10.8208732
남포동거리,16.3604532
팥빙수골목,14.49169142
구제골목,0.8412642
아리랑거리,0.83176166
고갈비골목,1.14392385
용두산,0.70669687
용두산문화의거리,3.91015504
부산경찰청 관광경찰대 남포센터,1.42327762
보수산,3.40690075
부평동죽집골목,2.4250011
천지인골목,4.61065231
초량차이나타운,17.20323662
초량이바구길,26.03278767
168계단모노레일,68.78167398
부산역광장,7.99764098
갈맷길 3코스2구간,1.3627603
168계단,25.11858229
닥밭골벽화마을,4.65788388
초량상해거리,1.41467215
영도대교 포장마차거리,5.38338956
중앙공원 충혼탑,9.2516054
텍사스거리,12.51345561
부산 임시수도정부청사,2.199876
옛백제병원,16.49018159
깡깡이예술마을,15.43880153
당산,1.795574
친환경 스카이웨이 전망대,3.82844664
영도웰컴센터 전망대,4.3812573
이바구자전거,0.14659822
초량불백거리,1.0695417
유치환의우체통,11.2965153
비석문화마을,11.14413775
천마산하늘전망대,5.43880075
정발장군동상,3.1543058
감천문화마을,149.0020833
감천문화마을 안내센터,9.79670343
수정,116.4078894
누리바라기전망대,11.97553564
평화의소녀상,14.73126075
흰여울문화마을,245.3678723
절영해안산책로,7.7110514
아미산,4.98251
구봉산,10.89087975
구름이쉬어가는전망대,6.3171619
송도해상케이블카 송도베이스테이션,155.5046624
천마산,3.66646
봉래산,22.25369334
청학배수지 전망대,25.48599348
흰여울마을 안내센터,14.90907445
송도해수욕장,60.2196233
천마산전망대,10.6716747
영도해돋이전망대,7.33292
영도절영산책로,9.24550818
송도 거북섬,1.9786062
이태석신부생가,8.2561422
감내까페 2호점,4.3220605
구덕산,4.4821581
흰여울 해안터널,36.43604375
천덕수우물,1.5791706
좌천동굴,5.19335406
천마산 전망대2,4.8952797
시약산,6.5170855
엄광산등산로,2.4138216
엄광산,11.33154745
흰여울전망대,1.114996
구봉산 상봉,4.61880475
송도해수욕장 다이빙대,11.28241975
흰여울길,2.0482632
이송도전망대,8.2102019
기상레이더 전망대,3.53348435
좌천동가구거리,2.63839425
장승 외7점,3.69601725
정공단,1.70388168
송도폭포,3.8947258
웹툰이바구길,4.37315687
증산왜성,4.885946
장군산,0.8085353
부산포개항가도 경사형엘리베이터,4.76524
농청산,3.297677
정오연생가터,2.5031043
부산진성,2.63300451
영도하늘전망대,5.813301427
봉래산 손봉,2.2377649
이중섭전망대,3.66646
이중섭거리,15.75382934
송도해상케이블카 송도스카이파크,67.36381062
영가대,2.55163728
캐니언파크 문현점,31.5543603
송도해안볼레길,1.9531728
승학산,6.6114406
런닝맨 부산점,10.02987729
전포카페거리,5.9097151
쌈마이웨이촬영지,16.47454243
중리바닷가,5.9734385
남파랑길 3코스,3.1074555
놀이똥산 부산점,4.49864871
친구의거리,9.96047475
무민사,3.1998245
태종대자갈마당,26.57746875
서면1번가,8.0758009
암남공원 해안산책로,2.82678748
서면젊음의거리,12.72840135
서면포장마차거리,1.058048418
감지해변,11.85200544
중리노을전망대,11.84790985
학장천,0.29938042
진정산,3.40690075
갈맷길 3코스3구간,0.9074359
약수터,1.5678039
문현동골동품거리,3.66646
황령산 봉수대,46.25444056
동매산,7.7584495
황령산,47.71719088
황령산전망쉼터,35.82541714
만취길,28.63915595
천제산,5.74438944
서면먹자골목,2.8058469
전리단길,6.42020526
두도전망대,1.51904832
송상현광장,10.72306195
팔금산,1.8018548
동섬,3.8200078
냉정샘,4.1913423
냉정당산제당,3.53348435
감지해변산책로,6.09867385
갈맷길4코스3구간 종점인증대,3.66646
갈맷길 4코스2구간,3.89943
서면공구골목,2.199876
태종대유원지,140.2764825
봉오리산,7.11452015
스웨덴참전기념비,7.33292
영도동삼동패총 문화의거리,0.53244483
낙동강하구둑 인증센터,20.6539552
유엔참전기념탑,7.65288053
태종대유람선안내소,3.94949975
아치산,4.597485
괴정천,0.186566682
중리산,4.033056
만덕사지삼층석탑,3.66646
조도,3.36755228
대영온천 대연동지점,3.25154864
황령산 갈미봉,3.297677
백양산,3.66646
아덴만여명작전전적비,3.66646
두도,3.53348435
황령산벚꽃길,2.933168
부네치아선셋전망대,3.59104414
응봉봉수대,8.7836127
황령산스토리타워,0.59048757
낙동강하구둑전망대,8.4206918
윤공단,5.3418856
북양개척자비,4.69991885
삼각봉,11.6543275
민주열사 진성일추모비,3.66646
황령산숲길,2.99598785
잭슨나인스 부산점,0.733292
행경산,7.4663415
태종산,2.73368625
일웅도,0.8716658
을숙도,13.1767578
태종대 전망대,42.98806456
아미산전망대,13.512036
고니나루쉼터,9.72041816
다대포 생선회먹거리타운,2.3924517
갈맷길4코스3구간 시작인증대,7.9673475
팔봉도,0.70669687
고우니생태길,3.0003232
화손대,2.412525
신선바위,32.8361932
솔섬,2.12009061
몰운대유원지,12.62508765
모자섬,2.04414045
맹금머리등,3.905614
부산어린이대공원,19.54849229
정묘사,7.5309613
빵천동문화1번가,18.96304296
금련산,7.9612409
성지곡수원지,9.78903625
광안리해수욕장,247.2568485
백양산 애진봉,3.0548227
해파랑길 1코스,11.06332665
동생말,13.23261675
양정동배롱나무,5.30890387
광안리카페거리,4.6336435
금련산청소년수련원 전망대,3.92555265
이기대해안산책로,33.97058276
호텔아쿠아펠리스 워터파크,5.73479458
광안리만남의광장,5.35850712
광안리관광안내소,4.8886916
오륙도스카이워크,88.29308685
구름다리,3.53348435
배산,7.77915225
오륙도,39.5077085
광안리해변테마거리,4.65181025
백양산웰빙숲,2.4482554
부산경찰추모공간,4.030969
연산동고분군,3.40690075
금정봉,7.29539135
최동원동상,23.87060875
주전자섬(생도),6.9403851
굴섬,3.53348435
백양전망대,4.500754
덕석바위,7.8047385
동래사직단,7.441218
십자산,7.5543722
온천천,0.62781849
온천천카페거리,11.24102005
충렬사,0.7367119
대영해수온천,10.1082838
만덕고개누리길전망데크,18.29299535
배산성지,3.40690075
호텔농심 허심청,80.12019746
금강공원 금강케이블카,14.16554455
쇠미산어귀전망대,9.2478379
동래복천동고분군,3.746624
동래사적공원 동래읍성,0.733292
범방산,3.928868
덕천동젊음의거리,3.41460455
주지봉,3.40690075
녹천탕,21.52354564
BIFF힐,3.66646
생태늪지,3.66646
정과정유적지,2.7201705
금강식물원,3.13167112
동래고읍성,2.7226595
갈맷길2코스2구간 시작인증대,3.48365966
금천파크온천,6.105605671
마안산,3.7747407
대성관온천,8.63403756
백산,1.5840005
벽초온천,6.99382872
후니바위섬,7.3831845
주라지 신세계센텀시티점,8.1813085
금정산 상계봉,4.91482375
윤산,14.79675328
부산대학교 젊음의거리,4.74890119
옥봉산,1.68595542
갈맷길8코스1구간 종점인증대,4.0318927
금정산성부설비,3.687907
동제봉,3.278025
금정산성 2망루,3.44411944
금정산부곡온천,33.93334858
해운대수목원,40.28148249
금정산성 동문,4.9526912
장산,37.2343686
부산화명수목원,15.83750825
회동저수지,4.9120955
금정산성 서문,3.66646
회동수원지,4.12780785
애기소계곡,4.202001
상학산,7.730383
부엉산,3.40690075
대천천,3.1270018
금정산 삼각바위,1.71787815
금정산성,2.199876
아홉산,7.78970905
박차정의사 상,5.12232366
금정산성 3망루,3.7316365
장산계곡,2.199876
해운대 영화의거리,6.6197091
금정산 의상봉,3.48187565
진조말산,7.3062805
스파마린,9.94229003
요트더퀸,3.00329775
운봉산,1.97066082
금정산 원효봉,4.3315745
황산이방최연수애휼역졸비,6.41614855
무명바위,3.53348435
앵림산,1.102606
개좌산,4.37333675
봉대산,3.297677
동백섬,73.42841934
동백섬 누리마루전망대,2.199876
해운대해수욕장,275.8337086
해운대 포장마차촌,34.50091457
해리단길,37.59307153
동백공원 해안산책로,5.47209455
운대산,3.6324345
해운대석각,0.4334615
해운대 이벤트광장,4.399752
솔밭유원지,3.0953923
화정산제당,2.9836458
강서낙동강변30리벚꽃길,11.2688862
삼락습지생태원,2.36969985
해운대블루라인파크 미포정거장,175.1474633
송정해수욕장,60.20612364
해운대블루라인파크 청사포정거장,60.90342937
청사포다릿돌전망대,46.66483412
해운대블루라인파크 송정정거장,54.56326709
엑스더스카이,75.96563042
해운대달맞이길,15.77771235
문탠로드,9.6697652
청사포몽돌해변,8.9373995
송도탕,10.35661975
해월정,4.7754258
청사포벽화마을,0.98926245
청사포다릿돌전망대 관광안내소,17.98633997
해운대블루라인파크 달맞이터널,9.8845946
해운대로데오거리,0.70669687
해운대엘시티워터파크 (2022년9월예정),4.39397033
힐스파 (휴업중),25.44291198
파라다이스호텔부산 카지노,0.80469286
해파랑길 2코스,3.57584895
송정옛길,1.5478986
청사포 고양이 마을,0.72410244
고흐의길,6.25927081
해마루,3.91214115
해운대구남로 문화광장,2.5010816
할매탕 (휴업중),19.47590842
영화아파트촬영지,0.67148936
달맞이갤러리촌,3.40690075
신곡산,2.62922336
둥둥바위,3.53348435
파라다이스호텔 옥외온천,3.13995932
곽걸산,2.7255206
줄바위,3.53348435
감딘산,3.03952875
롯데월드 어드벤처 부산,257.8322071
롯데월드어드벤처 부산점 자이언트디거,13.46253805
부산 칠드런스 뮤지엄,16.31833157
브릭캠퍼스 부산,11.80223945
오랑대,18.19202493
롯데프리미엄아울렛 동부산점 등대전망대,3.4334722
롯데월드어드벤처 부산 자이언트 스플래쉬,13.9036336
해물포장마차촌,23.22637999
롯데월드 어드벤처 부산 자이언트 스윙,13.17598543
갈맷길 1코스2구간,0.7403737
죽도,2.6854405
시랑대,4.40827
롯데월드 어드벤처 부산 로리캐슬,3.89382594
갈치고개,3.22551416
산성산,3.66646
멍두산,4.2022565
토암도자기공원,12.48761211
오거스후룸,7.72241645
거북바위,5.7521453
기장읍성,4.2756795
기장 장관청,2.80619502
섬디,6.0414036
큰섬,6.51984261
제비섬,2.6818311
물조은온천,9.5874956
셋드산,3.1566265
다대포해수욕장,147.0545588
몰운대,18.0045558
백합등,10.9009455
쥐섬,3.7302609
다대진동헌,2.76781389
나무섬,3.66646
외섬,7.2303988
남형제섬,5.81015595
명지선창회타운,5.37691085
대마등,31.67477555
녹산수문아울렛 패션거리,4.7939945
장자도,42.148645
금정산 고당봉,12.7556379
금정산성 북문,6.60672525
스포원 물놀이장,0.88732859
부산관광안내소,0.71658075
범리단길,1.68427755
금정산 고모당,8.40679555
의상대,3.925942
부산치유의숲,12.48007782
갈맷길 9코스1구간,0.8540479
장년산,2.2006869
